OTU,Domain,Phylum,Class,Order,Family,Genus,Label
BOTU_6756,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6756_Bacteria
BOTU_6757,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,unidentified,Chloroplast,Bacillariophyta,BOTU_6757_Chloroplast
BOTU_6758,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6758_Bacteria
BOTU_6759,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6759_Bacteria
BOTU_676,Bacteria,Verrucomicrobia,Subdivision3,unidentified,unidentified,Subdivision3_genera_incertae_sedis,BOTU_676_Subdivision3
BOTU_6760,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6760_Bacteria
BOTU_6761,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6761_Bacteria
BOTU_6762,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6762_Bacteria
BOTU_6763,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,BOTU_6763_Acinetobacter
BOTU_6764,Bacteria,Cyanobacteria/Chloroplast,Cyanobacteria,unidentified,unidentified,unidentified,BOTU_6764_Cyanobacteria
BOTU_6765,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,unidentified,BOTU_6765_Chitinophagaceae
BOTU_6766,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6766_Bacteria
BOTU_6767,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6767_Bacteria
BOTU_6768,Bacteria,Proteobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6768_Proteobacteria
BOTU_6769,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,BOTU_6769_Gaiella
BOTU_677,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_677_Bacteria
BOTU_6770,Bacteria,Bacteroidetes,unidentified,unidentified,unidentified,unidentified,BOTU_6770_Bacteroidetes
BOTU_6771,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6771_Bacteria
BOTU_6772,Bacteria,Bacteroidetes,Chitinophagia,unidentified,unidentified,unidentified,BOTU_6772_Chitinophagia
BOTU_6773,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,unidentified,unidentified,BOTU_6773_Sphingomonadales
BOTU_6774,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6774_Bacteria
BOTU_6775,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6775_Bacteria
BOTU_6776,Bacteria,Proteobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6776_Proteobacteria
